order_id,customer_id,order_date
1,32,05-08-2023
2,375,11-01-2023
3,34,29-01-2023
4,5,18-01-2023
5,276,23-06-2023
6,171,10-01-2023
7,314,05-01-2023
8,287,19-04-2023
9,241,13-04-2023
10,137,01-06-2023
11,298,09-10-2023
12,268,09-05-2023
13,456,30-04-2023
14,94,18-04-2023
15,201,31-01-2023
16,123,12-10-2023
17,359,20-08-2023
18,19,19-06-2023
19,168,28-07-2023
20,62,09-01-2023
21,289,05-04-2023
22,259,24-11-2023
23,48,05-04-2023
24,112,26-04-2023
25,91,05-06-2023
26,464,20-02-2023
27,31,10-06-2023
28,450,16-03-2023
29,33,15-08-2023
30,77,29-04-2023
31,23,27-05-2023
32,493,26-06-2023
33,30,29-10-2023
34,46,15-08-2023
35,103,27-04-2023
36,341,05-04-2023
37,62,30-01-2023
38,104,28-01-2023
39,383,01-03-2023
40,45,23-04-2023
41,481,27-05-2023
42,366,10-05-2023
43,270,05-08-2023
44,447,08-05-2023
45,370,17-01-2023
46,371,09-05-2023
47,392,10-04-2023
48,167,29-06-2023
49,183,21-08-2023
50,392,04-12-2023
51,445,12-11-2023
52,196,14-12-2023
53,198,15-02-2023
54,219,06-05-2023
55,426,08-09-2023
56,450,25-06-2023
57,467,02-04-2023
58,310,29-11-2023
59,59,03-05-2023
60,38,12-08-2023
61,454,22-05-2023
62,273,05-06-2023
63,472,21-06-2023
64,387,09-07-2023
65,210,22-08-2023
66,187,30-06-2023
67,162,22-07-2023
68,491,30-08-2023
69,262,09-01-2023
70,190,07-03-2023
71,155,28-03-2023
72,155,18-10-2023
73,65,08-10-2023
74,365,18-03-2023
75,86,23-08-2023
76,331,18-11-2023
77,78,11-03-2023
78,83,10-02-2023
79,417,10-11-2023
80,130,01-05-2023
81,183,27-11-2023
82,162,29-03-2023
83,142,31-08-2023
84,159,09-02-2023
85,220,20-03-2023
86,282,30-06-2023
87,454,19-08-2023
88,470,25-02-2023
89,433,21-03-2023
90,351,11-06-2023
91,36,17-12-2023
92,96,03-09-2023
93,274,18-01-2023
94,24,09-04-2023
95,333,02-07-2023
96,377,07-07-2023
97,260,01-07-2023
98,440,15-09-2023
99,322,07-12-2023
100,192,25-06-2023
101,335,03-03-2023
102,95,12-07-2023
103,17,19-05-2023
104,454,11-11-2023
105,365,18-04-2023
106,32,07-05-2023
107,429,05-06-2023
108,168,16-10-2023
109,207,06-05-2023
110,185,26-01-2023
111,119,29-05-2023
112,358,19-10-2023
113,4,11-04-2023
114,50,11-03-2023
115,115,08-07-2023
116,260,17-05-2023
117,73,25-03-2023
118,117,08-02-2023
119,160,21-10-2023
120,262,18-09-2023
121,462,04-10-2023
122,308,05-10-2023
123,405,10-08-2023
124,442,13-08-2023
125,298,20-09-2023
126,244,04-04-2023
127,263,02-07-2023
128,101,10-08-2023
129,412,07-02-2023
130,142,16-04-2023
131,118,14-03-2023
132,69,17-04-2023
133,11,25-03-2023
134,249,05-07-2023
135,95,26-01-2023
136,402,04-07-2023
137,43,09-11-2023
138,122,14-12-2023
139,357,19-04-2023
140,45,14-08-2023
141,330,02-12-2023
142,101,05-11-2023
143,176,26-03-2023
144,295,20-12-2023
145,430,10-12-2023
146,362,10-01-2023
147,112,11-06-2023
148,456,03-09-2023
149,283,19-01-2023
150,462,27-01-2023
151,437,07-07-2023
152,256,14-10-2023
153,179,11-03-2023
154,250,04-02-2023
155,262,13-06-2023
156,341,18-10-2023
157,343,09-06-2023
158,310,12-06-2023
159,456,21-10-2023
160,46,04-09-2023
161,174,01-08-2023
162,436,06-02-2023
163,135,02-02-2023
164,338,27-11-2023
165,440,15-06-2023
166,10,03-04-2023
167,466,17-06-2023
168,116,10-06-2023
169,135,10-05-2023
170,446,06-06-2023
171,488,07-09-2023
172,213,07-01-2023
173,151,25-03-2023
174,325,29-05-2023
175,25,01-03-2023
176,221,09-08-2023
177,475,10-11-2023
178,112,23-05-2023
179,183,01-12-2023
180,369,17-10-2023
181,254,22-10-2023
182,145,08-11-2023
183,132,12-12-2023
184,89,15-06-2023
185,74,30-06-2023
186,49,23-07-2023
187,183,25-09-2023
188,382,18-10-2023
189,357,09-04-2023
190,203,19-08-2023
191,77,04-09-2023
192,498,24-12-2023
193,125,20-01-2023
194,374,24-11-2023
195,127,10-02-2023
196,380,06-02-2023
197,20,23-09-2023
